"EventId","Title","Title_Keyword","SubTitle","Stage","Stage_Keyword","Location","Genres","Schedules","Ticketing"
"1","라이온킹 라이브 인 콘서트","라이온킹 라이브 인 콘서트","어흥","콘서트장","콘서트장","인천광역시","콘서트, 뮤지컬","2025-02-01T18:00:00, 2025-02-02T18:00:00","2024-12-24T14:00:00"
"3","test","test","test","뮤지컬장","뮤지컬장","서울특별시","뮤지컬","2025-02-26T00:00:00, 2025-02-27T00:00:00","2024-12-16T22:25:00"
"5","V-리그 10주년 올스타","V-리그 10주년 올스타","레전드 배구 경기 떳냐","스포츠장","스포츠장","서울특별시","스포츠, 뮤지컬","2025-01-12T00:00:00, 2025-01-11T17:00:00","2024-12-29T01:03:00"
"9","test","test","test","뮤지컬장","뮤지컬장","서울특별시","아동_가족, 스포츠, 콘서트, 전시_행사","2025-01-15T00:00:00, 2025-01-16T00:00:00","2024-12-27T17:51:00"
"11","test3","test3","test2","스포츠장","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"12","test4","test4","test2","스포츠장","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"13","test5","test5","test2","스포츠장","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"14","test6","test6","test2","스포츠장","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"15","test7","test7","test2","스포츠장","스포츠장","서울특별시","스포츠","2025-01-23T00:00:00, 2025-01-24T00:00:00","2024-12-31T21:22:00"
"16","test9","test9","test2","스포츠장","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"17","test11","test11","test2","스포츠장","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"18","test12","test12","test2","스포츠장","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"19","test13","test13","test2","스포츠장","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"20","test14","test14","test2","스포츠장","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"21","test15","test15","test2","스포츠장","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"22","test16","test16","test2","스포츠장","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"23","test17","test17","test2","스포츠장","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
