"EventId","Title","Poster_Url","Stage","Location","Genres","Schedules","Ticketing"
"1","라이온킹 라이브 인 콘서트","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","콘서트장","인천광역시","콘서트, 뮤지컬","2025-02-01T18:00:00, 2025-02-02T18:00:00","2024-12-24T14:00:00"
"3","test","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","뮤지컬장","서울특별시","뮤지컬","2025-02-26T00:00:00, 2025-02-27T00:00:00","2024-12-16T22:25:00"
"5","V-리그 10주년 올스타","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠, 뮤지컬","2025-01-12T00:00:00, 2025-01-11T17:00:00","2024-12-29T01:03:00"
"12","test4","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"13","공연 수정 몽고디비 테스트","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"14","test6","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"15","test7","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-23T00:00:00, 2025-01-24T00:00:00","2024-12-31T21:22:00"
"16","test9","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"17","test11","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"18","test12","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"19","test13","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"20","test14","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"21","test15","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"22","test16","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"23","test17","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"24","test18","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"25","test19","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"26","test20","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"27","test21","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"28","test22","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"29","test24","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
